Menge;AccountingMonth;Produktionsstandort;Vertriebsweg;Landeskürzel;Land;Gruppe
1;201408;Standort1;direkt;DE;Deutschland;3
1;201408;Standort1;direkt;DE;Deutschland;3
18;201408;Standort1;direkt;MY;Malaysia;3
5;201409;Standort1;direkt;DE;Deutschland;3
2;201410;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201410;Standort1;direkt;GB;Vereinigtes Königreich;3
120;201411;Standort1;direkt;QA;Qatar;3
68;201408;Standort1;direkt;QA;Qatar;3
12;201408;Standort1;direkt;MY;Malaysia;3
102;201408;Standort1;direkt;DE;Deutschland;3
2;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
7;201408;Standort1;direkt;MY;Malaysia;3
4;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201408;Standort1;direkt;DE;Deutschland;3
5;201408;Standort1;direkt;GB;Vereinigtes Königreich;3
3;201410;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201408;Standort1;direkt;TR;Türkei;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
14;201409;Standort1;direkt;DE;Deutschland;3
16;201409;Standort1;direkt;DE;Deutschland;3
14;201409;Standort1;direkt;DE;Deutschland;3
8;201409;Standort1;direkt;DE;Deutschland;3
24;201410;Standort1;direkt;GB;Vereinigtes Königreich;3
6;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
12;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
1;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
5;201409;Standort1;direkt;MY;Malaysia;3
2;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201409;Standort1;direkt;GB;Vereinigtes Königreich;3
2;201411;Standort1;direkt;GB;Vereinigtes Königreich;3
20;201409;Standort1;direkt;DE;Deutschland;3
20;201409;Standort1;direkt;DE;Deutschland;3
2;201410;Standort1;direkt;MY;Malaysia;3
14;201409;Standort1;direkt;DE;Deutschland;3
8;201409;Standort1;direkt;DE;Deutschland;3
16;201409;Standort1;direkt;DE;Deutschland;3
3;201410;Standort1;direkt;DE;Deutschland;3
